area_code,mean,median,count
322800,243.02380952380952,243.64285714285714,6
328800,206.64285714285714,231.64285714285717,8
322600,250.97455968688848,215.71428571428572,73
324200,241.04761904761904,204.71428571428572,3
332700,306.5204382638011,199.42857142857144,339
322100,210.12458471760797,195.35714285714283,86
317400,339.6208791208791,191.5,26
330500,213.2752613240418,187.0,41
322500,168.39372822299651,183.71428571428572,41
324100,166.02463054187194,183.0,29
322300,177.71428571428572,177.71428571428572,2
325700,217.21379445863627,174.57142857142856,727
319400,159.89285714285714,171.0,20
332100,195.15369458128077,170.14285714285714,145
320300,148.21428571428572,169.42857142857144,12
323600,287.9835164835165,166.14285714285717,26
326600,358.05324855950727,163.28571428571428,719
326800,178.5797619047619,161.78571428571428,120
323000,214.45782111064008,160.71428571428572,337
327000,181.2308377175233,157.57142857142856,1765
321200,131.31428571428572,157.0,10
320700,139.02448979591838,155.42857142857144,35
325800,179.02128909117604,154.71428571428572,973
321600,154.57142857142856,154.57142857142856,1
323900,202.7117572692794,154.35714285714283,226
323800,169.18589743589743,149.85714285714286,156
327700,157.00921658986172,149.57142857142856,31
326400,157.59959758551307,149.28571428571428,71
324400,192.23990683229812,146.57142857142856,184
329600,157.04761904761907,145.35714285714286,78
316800,345.40092165898614,139.14285714285714,31
321500,147.0134770889488,137.42857142857144,53
323300,152.45592705167172,137.28571428571428,141
326100,178.62787456445992,136.14285714285714,205
320900,149.35135135135135,135.28571428571428,37
324800,155.65703380588877,130.71428571428572,262
331000,129.3809523809524,130.71428571428572,9
322900,162.56985871271587,127.28571428571429,91
325200,132.88531187122737,125.57142857142857,142
321000,149.7950310559006,125.0,46
325400,130.80816326530612,121.85714285714286,35
323100,178.78571428571428,121.28571428571429,64
322400,177.74499332443258,120.14285714285714,107
329800,105.77142857142857,119.42857142857143,5
327100,139.54233696175706,117.71428571428571,1483
319700,149.67173252279636,117.28571428571429,47
322200,163.23294723294723,108.28571428571429,111
329700,122.89738430583502,108.0,71
323200,119.78180039138944,106.35714285714286,146
319800,129.97674418604652,104.42857142857143,43
330200,112.9506387921022,101.71428571428571,246
328100,125.2201680672269,100.42857142857143,85
332000,150.30992736077482,100.0,177
320200,107.11317254174398,99.71428571428571,77
317000,139.4375,99.0,16
329100,135.54311454311454,94.85714285714286,111
331700,136.42,93.35714285714286,100
321800,78.0019305019305,92.57142857142857,74
316600,228.95238095238096,92.28571428571429,75
320800,279.4761904761905,91.14285714285714,36
328900,101.01685393258427,90.21428571428572,178
329500,75.84210526315789,90.14285714285714,19
321400,186.90769230769232,89.71428571428571,65
327200,99.83134920634922,89.0,72
329400,113.7159277504105,86.28571428571429,87
325100,114.42857142857143,84.57142857142858,14
330300,151.18095238095236,84.5,90
322700,92.12280701754386,84.0,228
327400,94.57871720116617,83.42857142857142,98
325000,109.13839285714286,82.78571428571429,64
330900,89.80357142857143,82.71428571428571,8
327600,89.54711246200607,80.35714285714286,94
332400,179.5031605562579,76.85714285714286,113
318100,130.52380952380952,74.57142857142857,9
330800,77.41904761904762,73.57142857142857,45
326000,83.98412698412699,73.42857142857143,9
318800,102.67080745341616,73.28571428571429,23
330000,158.7353629976581,72.0,61
328700,79.80952380952381,70.35714285714286,36
331400,165.71428571428572,69.42857142857143,70
329200,74.90243902439025,69.0,41
331300,235.16919959473154,68.57142857142857,141
318000,122.30662020905923,66.42857142857143,41
327800,66.82738095238095,65.85714285714286,24
329300,91.93197278911565,62.714285714285715,42
331100,50.01587301587302,60.28571428571429,45
319200,119.57904761904761,59.0,75
331900,252.63025210084032,58.85714285714286,51
331200,91.50905432595573,58.42857142857143,71
323700,72.45918367346938,54.85714285714286,14
325900,68.74462705436156,52.57142857142857,113
326900,60.47563025210084,49.42857142857143,85
317900,78.50595238095238,47.57142857142857,24
328500,66.95031055900621,47.14285714285714,46
318300,76.06229235880397,45.21428571428571,172
316900,77.4920634920635,43.57142857142857,63
318700,80.06227106227107,42.28571428571429,78
323500,43.31428571428572,41.42857142857143,15
320100,47.89010989010989,37.35714285714286,52
322000,58.48351648351648,37.0,13
326500,79.48757763975155,33.857142857142854,46
317800,46.739285714285714,31.857142857142854,80
319000,29.8452380952381,30.92857142857143,12
328200,44.671428571428564,30.714285714285708,20
330100,41.70300751879699,29.57142857142857,38
324600,50.535714285714285,29.35714285714286,12
319900,39.092592592592595,29.0,54
317600,90.25274725274724,24.714285714285708,13
323400,79.86507936507935,23.0,54
319500,58.884453781512605,22.14285714285714,68
318600,104.41013824884793,15.0,31
329900,43.221978021978025,13.857142857142861,65
320600,61.322299651567945,11.57142857142857,82
319600,10.31010452961673,11.285714285714292,41
330600,42.956043956043956,9.714285714285708,65
328300,5.195767195767197,7.285714285714292,27
328600,19.642857142857146,-3.0714285714285694,6
319300,25.02332361516035,-4.571428571428569,49
328400,31.422857142857147,-9.142857142857139,25
327500,29.724489795918373,-15.714285714285708,28
324300,99.91208791208791,-23.85714285714286,39
